unique_id,lat,lng,ds,h3
5405762,-20.2027471,-40.2402236,2024-08-09 14:48:51.903,87a895640ffffff
5263340,-20.2184467,-40.2317809,2024-05-18 09:25:22.987,87a895644ffffff
5481355,-20.3397521,-40.2847798,2024-09-29 10:32:54.203,87a89576affffff
5194906,-20.2718872,-40.2876447,2024-04-15 22:07:12.047,87a89574bffffff
5224785,-20.3139588,-40.3049544,2024-04-30 12:44:52.700,87a89574dffffff
5446514,-20.2300858,-40.2548581,2024-09-04 19:47:58.893,87a895663ffffff
5252202,-20.2889118,-40.3040247,2024-05-13 14:13:38.430,87a895749ffffff
5313972,-20.3131549,-40.3045728,2024-06-13 22:26:03.937,87a89574dffffff
5611728,-20.3156698,-40.2960132,2024-12-10 15:51:46.993,87a89574dffffff
5326885,-20.2971167,-40.2936028,2024-06-20 16:27:46.550,87a895748ffffff
5183561,-20.3104779,-40.2825018,2024-04-10 18:33:16.203,87a895748ffffff
5565008,-20.2718872,-40.2876447,2024-11-19 10:34:25.910,87a89574bffffff
5286063,-20.2136961,-40.2031469,2024-05-30 06:06:24.493,87a895673ffffff
5469095,-20.3117591,-40.2908188,2024-09-20 13:23:03.230,87a895748ffffff
5488996,-20.2059996,-40.268592,2024-10-03 20:07:49.597,87a895645ffffff
5010390,-20.2687779,-40.29256729999999,2024-01-17 15:27:21.340,87a895296ffffff
5178023,-20.3188398,-40.3460037,2024-04-07 18:36:44.260,87a8952b0ffffff
5646357,-20.138365,-40.292676,2024-12-31 04:47:08.383,87a895649ffffff
5440778,-20.2554949,-40.2903986,2024-08-31 05:35:19.120,87a895665ffffff
5656022,-20.2276965,-40.258212,2025-01-07 20:16:56.373,87a895663ffffff
5613526,-20.2889118,-40.3040247,2024-12-11 09:23:25.150,87a895749ffffff
5428380,-20.2960876,-40.3456202,2024-08-23 08:30:55.567,87a8952b3ffffff
5460486,-20.2300858,-40.2548581,2024-09-14 02:47:59.250,87a895663ffffff
5117442,-20.2923763,-40.2356296,2024-03-10 09:05:06.607,87a895759ffffff
5388894,-20.2923763,-40.2356296,2024-07-30 15:48:07.323,87a895759ffffff
5724602,-20.2300858,-40.2548581,2025-03-01 03:37:49.970,87a895663ffffff
5495198,-20.3580056,-40.2947267,2024-10-08 15:06:13.443,87a895768ffffff
5327992,-20.2059996,-40.268592,2024-06-21 09:32:15.533,87a895645ffffff
5067310,-20.3148427,-40.2953522,2024-02-18 14:35:53.517,87a89574dffffff
5404561,-20.2300858,-40.2548581,2024-08-08 19:19:27.813,87a895663ffffff
5505861,-20.2752196,-40.2980894,2024-10-15 16:23:30.573,87a895296ffffff
5415584,-20.3320144,-40.2815233,2024-08-15 18:17:43.437,87a89574cffffff
5339065,-20.2554949,-40.2903986,2024-06-27 19:53:12.190,87a895665ffffff
5435074,-20.2893253,-40.234213,2024-08-27 19:47:39.380,87a895759ffffff
5610389,-20.28197,-40.2909322,2024-12-10 09:10:59.857,87a89574bffffff
5417530,-20.3062037,-40.294383,2024-08-16 16:32:51.300,87a895748ffffff
5350413,-20.3150795,-40.2928814,2024-07-03 19:50:25.973,87a89574dffffff
5538891,-20.1933885,-40.2670305,2024-11-04 06:50:13.280,87a895645ffffff
5390612,-20.3063345,-40.2954516,2024-07-31 17:35:49.813,87a895748ffffff
5358089,-20.3132467,-40.3086089,2024-07-08 15:52:37.093,87a89574dffffff
5298883,-20.3034822,-40.3887643,2024-06-06 17:10:44.527,87a8952a2ffffff
5497861,-20.3648802,-40.3008905,2024-10-10 08:23:42.650,87a895768ffffff
5351123,-20.2978319,-40.2957056,2024-07-04 09:17:16.153,87a895748ffffff
5633928,-20.297847,-40.2901513,2024-12-19 23:32:16.573,87a895748ffffff
5477793,-20.2653622,-40.2828242,2024-09-26 17:33:53.757,87a895665ffffff
5265997,-20.1880689,-40.2735555,2024-05-20 11:23:40.183,87a89566affffff
5084455,-20.2300858,-40.2548581,2024-02-26 06:47:57.857,87a895663ffffff
5548487,-20.2957799,-40.3702137,2024-11-08 21:14:29.510,87a8952b1ffffff
5698796,-20.332788,-40.27938109999999,2025-02-09 18:47:50.447,87a89574cffffff
5501404,-20.3278789,-40.3505141,2024-10-11 17:49:19.937,87a8952b4ffffff
5243917,-20.2923763,-40.2356296,2024-05-09 13:40:18.960,87a895759ffffff
5246055,-20.3169755,-40.3084272,2024-05-10 10:32:39.410,87a89574dffffff
5607211,-20.3380804,-40.3229215,2024-12-09 07:50:56.257,87a895769ffffff
5737595,-20.3019834,-40.3664667,2025-03-13 16:29:54.310,87a8952b1ffffff
5256405,-20.3420856,-40.2889761,2024-05-15 12:49:52.127,87a89576affffff
5445934,-20.3345111,-40.2815618,2024-09-04 11:36:34.737,87a89574cffffff
4985250,-20.3581572,-40.2936232,2024-01-01 16:19:02.873,87a89576affffff
5400761,-20.265457,-40.2665974,2024-08-07 08:49:41.960,87a895664ffffff
5153001,-20.2647139,-40.2572037,2024-03-26 10:26:16.143,87a895664ffffff
5149720,-20.1367599,-40.1981416,2024-03-24 15:22:43.287,87a89565effffff
5780150,-20.2740422,-40.2907888,2025-04-12 12:33:42.243,87a89574bffffff
